Name,Date,Open,High,Low,Close,Adj Close,Volume
AABAX,02/12/16,12.19,12.19,12.19,12.19,11.39383,0.0
AABAX,02/16/16,12.3,12.3,12.3,12.3,11.49665,0.0
AABAX,02/17/16,12.4,12.4,12.4,12.4,11.590114999999999,0.0
AABAX,02/18/16,12.38,12.38,12.38,12.38,11.571422,0.0
AABAX,02/19/16,12.38,12.38,12.38,12.38,11.571422,0.0
AABAX,02/22/16,12.47,12.47,12.47,12.47,11.655546000000001,0.0
AABAX,02/23/16,12.39,12.39,12.39,12.39,11.580767,0.0
AABAX,02/24/16,12.42,12.42,12.42,12.42,11.608811,0.0
AABAX,02/25/16,12.5,12.5,12.5,12.5,11.683584,0.0
AABAX,02/26/16,12.48,12.48,12.48,12.48,11.664892,0.0
AABAX,02/29/16,12.44,12.44,12.44,12.44,11.627502,0.0
AABAX,03/01/16,12.58,12.58,12.58,12.58,11.758358,0.0
AABAX,03/02/16,12.62,12.62,12.62,12.62,11.795746000000001,0.0
AABAX,03/03/16,12.67,12.67,12.67,12.67,11.842482,0.0
AABAX,03/04/16,12.69,12.69,12.69,12.69,11.861175,0.0
AABAX,03/07/16,12.7,12.7,12.7,12.7,11.870522,0.0
AABAX,03/08/16,12.62,12.62,12.62,12.62,11.795746000000001,0.0
AABAX,03/09/16,12.65,12.65,12.65,12.65,11.823789999999999,0.0
AABAX,03/10/16,12.63,12.63,12.63,12.63,11.805095,0.0
AABAX,03/11/16,12.75,12.75,12.75,12.75,11.917256,0.0
AABAX,03/14/16,12.74,12.74,12.74,12.74,11.907907000000002,0.0
AABAX,03/15/16,12.72,12.72,12.72,12.72,11.889217,0.0
AABAX,03/16/16,12.78,12.78,12.78,12.78,11.945298,0.0
AABAX,03/17/16,12.85,12.85,12.85,12.85,12.010726,0.0
AABAX,03/18/16,12.88,12.88,12.88,12.88,12.038765,0.0
AABAX,03/21/16,12.88,12.88,12.88,12.88,12.038765,0.0
AABAX,03/22/16,12.87,12.87,12.87,12.87,12.029417,0.0
AABAX,03/23/16,12.83,12.83,12.83,12.83,11.992033000000001,0.0
AABAX,03/24/16,12.81,12.81,12.81,12.81,11.973336,0.0
AABAX,03/28/16,12.83,12.83,12.83,12.83,11.992033000000001,0.0
AABAX,03/29/16,12.92,12.92,12.92,12.92,12.076153999999999,0.0
AABAX,03/30/16,12.96,12.96,12.96,12.96,12.113543,0.0
AABAX,03/31/16,12.92,12.92,12.92,12.92,12.106982,0.0
AABAX,04/01/16,12.95,12.95,12.95,12.95,12.135093,0.0
AABAX,04/04/16,12.91,12.91,12.91,12.91,12.097610000000001,0.0
AABAX,04/05/16,12.85,12.85,12.85,12.85,12.041386,0.0
AABAX,04/06/16,12.91,12.91,12.91,12.91,12.097610000000001,0.0
AABAX,04/07/16,12.83,12.83,12.83,12.83,12.022644999999999,0.0
AABAX,04/08/16,12.86,12.86,12.86,12.86,12.050757,0.0
AABAX,04/11/16,12.85,12.85,12.85,12.85,12.041386,0.0
AABAX,04/12/16,12.91,12.91,12.91,12.91,12.097610000000001,0.0
AABAX,04/13/16,13.01,13.01,13.01,13.01,12.191319,0.0
AABAX,04/14/16,13.0,13.0,13.0,13.0,12.181948,0.0
AABAX,04/15/16,13.0,13.0,13.0,13.0,12.181948,0.0
AABAX,04/18/16,13.04,13.04,13.04,13.04,12.219432000000001,0.0
AABAX,04/19/16,13.08,13.08,13.08,13.08,12.256913,0.0
AABAX,04/20/16,13.06,13.06,13.06,13.06,12.238171000000001,0.0
AABAX,04/21/16,13.01,13.01,13.01,13.01,12.191319,0.0
AABAX,04/22/16,13.01,13.01,13.01,13.01,12.191319,0.0
AABAX,04/25/16,12.99,12.99,12.99,12.99,12.172575,0.0
AABAX,04/26/16,13.01,13.01,13.01,13.01,12.191319,0.0
AABAX,04/27/16,13.05,13.05,13.05,13.05,12.228800999999999,0.0
AABAX,04/28/16,12.97,12.97,12.97,12.97,12.153833,0.0
AABAX,04/29/16,12.93,12.93,12.93,12.93,12.116353,0.0
AABAX,05/02/16,12.97,12.97,12.97,12.97,12.153833,0.0
AABAX,05/03/16,12.9,12.9,12.9,12.9,12.088239999999999,0.0
AABAX,05/04/16,12.85,12.85,12.85,12.85,12.041386,0.0
AABAX,05/05/16,12.85,12.85,12.85,12.85,12.041386,0.0
AABAX,05/06/16,12.87,12.87,12.87,12.87,12.060129,0.0
AABAX,05/09/16,12.86,12.86,12.86,12.86,12.050757,0.0
AABAX,05/10/16,12.95,12.95,12.95,12.95,12.135093,0.0
AABAX,05/11/16,12.89,12.89,12.89,12.89,12.078869000000001,0.0
AABAX,05/12/16,12.88,12.88,12.88,12.88,12.069497,0.0
AABAX,05/13/16,12.82,12.82,12.82,12.82,12.013274000000001,0.0
AABAX,05/16/16,12.88,12.88,12.88,12.88,12.069497,0.0
AABAX,05/17/16,12.82,12.82,12.82,12.82,12.013274000000001,0.0
AABAX,05/18/16,12.78,12.78,12.78,12.78,11.97579,0.0
AABAX,05/19/16,12.76,12.76,12.76,12.76,11.957048,0.0
AABAX,05/20/16,12.82,12.82,12.82,12.82,12.013274000000001,0.0
AABAX,05/23/16,12.81,12.81,12.81,12.81,12.003902,0.0
AABAX,05/24/16,12.9,12.9,12.9,12.9,12.088239999999999,0.0
AABAX,05/25/16,12.95,12.95,12.95,12.95,12.135093,0.0
AABAX,05/26/16,12.97,12.97,12.97,12.97,12.153833,0.0
AABAX,05/27/16,13.0,13.0,13.0,13.0,12.181948,0.0
AABAX,05/31/16,12.99,12.99,12.99,12.99,12.172575,0.0
AABAX,06/01/16,13.0,13.0,13.0,13.0,12.181948,0.0
AABAX,06/02/16,13.03,13.03,13.03,13.03,12.210059,0.0
AABAX,06/03/16,13.04,13.04,13.04,13.04,12.219432000000001,0.0
AABAX,06/06/16,13.08,13.08,13.08,13.08,12.256913,0.0
AABAX,06/07/16,13.11,13.11,13.11,13.11,12.285025,0.0
AABAX,06/08/16,13.14,13.14,13.14,13.14,12.313138,0.0
AABAX,06/09/16,13.12,13.12,13.12,13.12,12.294395,0.0
AABAX,06/10/16,13.04,13.04,13.04,13.04,12.219432000000001,0.0
AABAX,06/13/16,12.97,12.97,12.97,12.97,12.153833,0.0
AABAX,06/14/16,12.95,12.95,12.95,12.95,12.135093,0.0
AABAX,06/15/16,12.96,12.96,12.96,12.96,12.144464,0.0
AABAX,06/16/16,12.98,12.98,12.98,12.98,12.163205,0.0
AABAX,06/17/16,12.95,12.95,12.95,12.95,12.135093,0.0
AABAX,06/20/16,13.0,13.0,13.0,13.0,12.181948,0.0
AABAX,06/21/16,13.02,13.02,13.02,13.02,12.200691,0.0
AABAX,06/22/16,13.01,13.01,13.01,13.01,12.191319,0.0
AABAX,06/23/16,13.11,13.11,13.11,13.11,12.285025,0.0
AABAX,06/24/16,12.86,12.86,12.86,12.86,12.050757,0.0
AABAX,06/27/16,12.74,12.74,12.74,12.74,11.938309,0.0
AABAX,06/28/16,12.86,12.86,12.86,12.86,12.050757,0.0
AABAX,06/29/16,12.98,12.98,12.98,12.98,12.163205,0.0
AABAX,06/30/16,13.03,13.03,13.03,13.03,12.262966,0.0
AABAX,07/01/16,13.05,13.05,13.05,13.05,12.281789,0.0
AABAX,07/05/16,13.01,13.01,13.01,13.01,12.244143,0.0
AABAX,07/06/16,13.04,13.04,13.04,13.04,12.272378,0.0
AABAX,07/07/16,13.04,13.04,13.04,13.04,12.272378,0.0
AABAX,07/08/16,13.16,13.16,13.16,13.16,12.385311999999999,0.0
AABAX,07/11/16,13.18,13.18,13.18,13.18,12.404135,0.0
AABAX,07/12/16,13.23,13.23,13.23,13.23,12.451194000000001,0.0
AABAX,07/13/16,13.24,13.24,13.24,13.24,12.460602,0.0
AABAX,07/14/16,13.26,13.26,13.26,13.26,12.479425,0.0
AABAX,07/15/16,13.25,13.25,13.25,13.25,12.470016000000001,0.0
AABAX,07/18/16,13.26,13.26,13.26,13.26,12.479425,0.0
AABAX,07/19/16,13.25,13.25,13.25,13.25,12.470016000000001,0.0
AABAX,07/20/16,13.28,13.28,13.28,13.28,12.498249000000001,0.0
AABAX,07/21/16,13.25,13.25,13.25,13.25,12.470016000000001,0.0
AABAX,07/22/16,13.29,13.29,13.29,13.29,12.507660000000001,0.0
AABAX,07/25/16,13.27,13.27,13.27,13.27,12.488836000000001,0.0
AABAX,07/26/16,13.29,13.29,13.29,13.29,12.507660000000001,0.0
AABAX,07/27/16,13.28,13.28,13.28,13.28,12.498249000000001,0.0
AABAX,07/28/16,13.3,13.3,13.3,13.3,12.517071000000001,0.0
AABAX,07/29/16,13.33,13.33,13.33,13.33,12.545304,0.0
AABAX,08/01/16,13.3,13.3,13.3,13.3,12.517071000000001,0.0
AABAX,08/02/16,13.23,13.23,13.23,13.23,12.451194000000001,0.0
AABAX,08/03/16,13.26,13.26,13.26,13.26,12.479425,0.0
AABAX,08/04/16,13.28,13.28,13.28,13.28,12.498249000000001,0.0
AABAX,08/05/16,13.32,13.32,13.32,13.32,12.535892,0.0
AABAX,08/08/16,13.32,13.32,13.32,13.32,12.535892,0.0
AABAX,08/09/16,13.34,13.34,13.34,13.34,12.554717,0.0
AABAX,08/10/16,13.33,13.33,13.33,13.33,12.545304,0.0
AABAX,08/11/16,13.35,13.35,13.35,13.35,12.56413,0.0
AABAX,08/12/16,13.36,13.36,13.36,13.36,12.573538000000001,0.0
AABAX,08/15/16,13.38,13.38,13.38,13.38,12.592361,0.0
AABAX,08/16/16,13.32,13.32,13.32,13.32,12.535892,0.0
AABAX,08/17/16,13.33,13.33,13.33,13.33,12.545304,0.0
AABAX,08/18/16,13.38,13.38,13.38,13.38,12.592361,0.0
AABAX,08/19/16,13.36,13.36,13.36,13.36,12.573538000000001,0.0
AABAX,08/22/16,13.36,13.36,13.36,13.36,12.573538000000001,0.0
AABAX,08/23/16,13.37,13.37,13.37,13.37,12.58295,0.0
AABAX,08/24/16,13.34,13.34,13.34,13.34,12.554717,0.0
AABAX,08/25/16,13.33,13.33,13.33,13.33,12.545304,0.0
AABAX,08/26/16,13.29,13.29,13.29,13.29,12.507660000000001,0.0
AABAX,08/29/16,13.35,13.35,13.35,13.35,12.56413,0.0
AABAX,08/30/16,13.33,13.33,13.33,13.33,12.545304,0.0
AABAX,08/31/16,13.31,13.31,13.31,13.31,12.526483,0.0
AABAX,09/01/16,13.32,13.32,13.32,13.32,12.535892,0.0
AABAX,09/02/16,13.36,13.36,13.36,13.36,12.573538000000001,0.0
AABAX,09/06/16,13.4,13.4,13.4,13.4,12.611185,0.0
AABAX,09/07/16,13.41,13.41,13.41,13.41,12.620595,0.0
AABAX,09/08/16,13.37,13.37,13.37,13.37,12.58295,0.0
AABAX,09/09/16,13.16,13.16,13.16,13.16,12.385311999999999,0.0
AABAX,09/12/16,13.25,13.25,13.25,13.25,12.470016000000001,0.0
AABAX,09/13/16,13.12,13.12,13.12,13.12,12.347667999999999,0.0
AABAX,09/14/16,13.12,13.12,13.12,13.12,12.347667999999999,0.0
AABAX,09/15/16,13.19,13.19,13.19,13.19,12.413548,0.0
AABAX,09/16/16,13.16,13.16,13.16,13.16,12.385311999999999,0.0
AABAX,09/19/16,13.18,13.18,13.18,13.18,12.404135,0.0
AABAX,09/20/16,13.17,13.17,13.17,13.17,12.394725,0.0
AABAX,09/21/16,13.27,13.27,13.27,13.27,12.488836000000001,0.0
AABAX,09/22/16,13.33,13.33,13.33,13.33,12.545304,0.0
AABAX,09/23/16,13.29,13.29,13.29,13.29,12.507660000000001,0.0
AABAX,09/26/16,13.24,13.24,13.24,13.24,12.460602,0.0
AABAX,09/27/16,13.28,13.28,13.28,13.28,12.498249000000001,0.0
AABAX,09/28/16,13.33,13.33,13.33,13.33,12.545304,0.0
AABAX,09/29/16,13.27,13.27,13.27,13.27,12.488836000000001,0.0
AABAX,09/30/16,13.27,13.27,13.27,13.27,12.534175999999999,0.0
AABAX,10/03/16,13.25,13.25,13.25,13.25,12.515285,0.0
AABAX,10/04/16,13.19,13.19,13.19,13.19,12.458611,0.0
AABAX,10/05/16,13.22,13.22,13.22,13.22,12.486947,0.0
AABAX,10/06/16,13.22,13.22,13.22,13.22,12.486947,0.0
AABAX,10/07/16,13.19,13.19,13.19,13.19,12.458611,0.0
AABAX,10/10/16,13.22,13.22,13.22,13.22,12.486947,0.0
AABAX,10/11/16,13.13,13.13,13.13,13.13,12.401938000000001,0.0
AABAX,10/12/16,13.13,13.13,13.13,13.13,12.401938000000001,0.0
AABAX,10/13/16,13.12,13.12,13.12,13.12,12.392494000000001,0.0
AABAX,10/14/16,13.1,13.1,13.1,13.1,12.373603999999998,0.0
AABAX,10/17/16,13.09,13.09,13.09,13.09,12.364157,0.0
AABAX,10/18/16,13.14,13.14,13.14,13.14,12.411384,0.0
AABAX,10/19/16,13.16,13.16,13.16,13.16,12.430274,0.0
AABAX,10/20/16,13.15,13.15,13.15,13.15,12.420828,0.0
AABAX,10/21/16,13.14,13.14,13.14,13.14,12.411384,0.0
AABAX,10/24/16,13.17,13.17,13.17,13.17,12.439721,0.0
AABAX,10/25/16,13.13,13.13,13.13,13.13,12.401938000000001,0.0
AABAX,10/26/16,13.1,13.1,13.1,13.1,12.373603999999998,0.0
AABAX,10/27/16,13.04,13.04,13.04,13.04,12.316930000000001,0.0
AABAX,10/28/16,13.02,13.02,13.02,13.02,12.29804,0.0
AABAX,10/31/16,13.04,13.04,13.04,13.04,12.316930000000001,0.0
AABAX,11/01/16,12.99,12.99,12.99,12.99,12.269702,0.0
AABAX,11/02/16,12.94,12.94,12.94,12.94,12.222472999999999,0.0
AABAX,11/03/16,12.91,12.91,12.91,12.91,12.194138,0.0
AABAX,11/04/16,12.9,12.9,12.9,12.9,12.18469,0.0
AABAX,11/07/16,13.05,13.05,13.05,13.05,12.326377,0.0
AABAX,11/08/16,13.07,13.07,13.07,13.07,12.345265,0.0
AABAX,11/09/16,13.09,13.09,13.09,13.09,12.364157,0.0
AABAX,11/10/16,13.08,13.08,13.08,13.08,12.354713,0.0
AABAX,11/11/16,13.05,13.05,13.05,13.05,12.326377,0.0
AABAX,11/14/16,13.08,13.08,13.08,13.08,12.354713,0.0
AABAX,11/15/16,13.15,13.15,13.15,13.15,12.420828,0.0
AABAX,11/16/16,13.13,13.13,13.13,13.13,12.401938000000001,0.0
AABAX,11/17/16,13.15,13.15,13.15,13.15,12.420828,0.0
AABAX,11/18/16,13.13,13.13,13.13,13.13,12.401938000000001,0.0
AABAX,11/21/16,13.18,13.18,13.18,13.18,12.449167999999998,0.0
AABAX,11/22/16,13.21,13.21,13.21,13.21,12.477503,0.0
AABAX,11/23/16,13.21,13.21,13.21,13.21,12.477503,0.0
AABAX,11/25/16,13.24,13.24,13.24,13.24,12.50584,0.0
AABAX,11/28/16,13.2,13.2,13.2,13.2,12.468059,0.0
AABAX,11/29/16,13.22,13.22,13.22,13.22,12.486947,0.0
AABAX,11/30/16,13.2,13.2,13.2,13.2,12.468059,0.0
AABAX,12/01/16,13.16,13.16,13.16,13.16,12.430274,0.0
AABAX,12/02/16,13.19,13.19,13.19,13.19,12.458611,0.0
AABAX,12/05/16,13.24,13.24,13.24,13.24,12.50584,0.0
AABAX,12/06/16,13.27,13.27,13.27,13.27,12.534175999999999,0.0
AABAX,12/07/16,13.38,13.38,13.38,13.38,12.638079,0.0
AABAX,12/08/16,13.4,13.4,13.4,13.4,12.656966,0.0
AABAX,12/09/16,13.4,13.4,13.4,13.4,12.656966,0.0
AABAX,12/12/16,13.39,13.39,13.39,13.39,12.647522,0.0
AABAX,12/13/16,13.43,13.43,13.43,13.43,12.685307,0.0
AABAX,12/14/16,13.33,13.33,13.33,13.33,12.590848,0.0
AABAX,12/15/16,13.35,13.35,13.35,13.35,12.609742,0.0
AABAX,12/16/16,13.34,13.34,13.34,13.34,12.600292999999999,0.0
AABAX,12/19/16,12.98,12.98,12.98,12.98,12.260256,0.0
AABAX,12/20/16,13.01,13.01,13.01,13.01,12.288592999999999,0.0
AABAX,12/21/16,12.99,12.99,12.99,12.99,12.269702,0.0
AABAX,12/22/16,12.96,12.96,12.96,12.96,12.241363,0.0
AABAX,12/23/16,12.98,12.98,12.98,12.98,12.260256,0.0
AABAX,12/27/16,12.99,12.99,12.99,12.99,12.269702,0.0
AABAX,12/28/16,12.89,12.89,12.89,12.89,12.228909,0.0
AABAX,12/29/16,12.91,12.91,12.91,12.91,12.247881,0.0
AABAX,12/30/16,12.89,12.89,12.89,12.89,12.228909,0.0
AABAX,01/03/17,12.95,12.95,12.95,12.95,12.28583,0.0
AABAX,01/04/17,13.01,13.01,13.01,13.01,12.342753,0.0
AABAX,01/05/17,13.03,13.03,13.03,13.03,12.361725999999999,0.0
AABAX,01/06/17,13.03,13.03,13.03,13.03,12.361725999999999,0.0
AABAX,01/09/17,13.01,13.01,13.01,13.01,12.342753,0.0
AABAX,01/10/17,13.01,13.01,13.01,13.01,12.342753,0.0
AABAX,01/11/17,13.04,13.04,13.04,13.04,12.371214,0.0
AABAX,01/12/17,13.03,13.03,13.03,13.03,12.361725999999999,0.0
AABAX,01/13/17,13.04,13.04,13.04,13.04,12.371214,0.0
AABAX,01/17/17,13.03,13.03,13.03,13.03,12.361725999999999,0.0
AABAX,01/18/17,13.03,13.03,13.03,13.03,12.361725999999999,0.0
AABAX,01/19/17,12.98,12.98,12.98,12.98,12.314289,0.0
AABAX,01/20/17,13.01,13.01,13.01,13.01,12.342753,0.0
AABAX,01/23/17,13.01,13.01,13.01,13.01,12.342753,0.0
AABAX,01/24/17,13.06,13.06,13.06,13.06,12.390188,0.0
AABAX,01/25/17,13.1,13.1,13.1,13.1,12.428138,0.0
AABAX,01/26/17,13.09,13.09,13.09,13.09,12.41865,0.0
AABAX,01/27/17,13.09,13.09,13.09,13.09,12.41865,0.0
AABAX,01/30/17,13.03,13.03,13.03,13.03,12.361725999999999,0.0
AABAX,01/31/17,13.05,13.05,13.05,13.05,12.380702000000001,0.0
AABAX,02/01/17,13.04,13.04,13.04,13.04,12.371214,0.0
AABAX,02/02/17,13.05,13.05,13.05,13.05,12.380702000000001,0.0
AABAX,02/03/17,13.1,13.1,13.1,13.1,12.428138,0.0
AABAX,02/06/17,13.1,13.1,13.1,13.1,12.428138,0.0
AABAX,02/07/17,13.09,13.09,13.09,13.09,12.41865,0.0
AABAX,02/08/17,13.12,13.12,13.12,13.12,12.447111,0.0
AABAX,02/09/17,13.16,13.16,13.16,13.16,12.485058,0.0
AABAX,02/10/17,13.19,13.19,13.19,13.19,12.513523,0.0
AABAX,02/13/17,13.21,13.21,13.21,13.21,12.532496,0.0
AABAX,02/14/17,13.23,13.23,13.23,13.23,12.55147,0.0
AABAX,02/15/17,13.26,13.26,13.26,13.26,12.579931,0.0
AABAX,02/16/17,13.26,13.26,13.26,13.26,12.579931,0.0
AABAX,02/17/17,13.27,13.27,13.27,13.27,12.589416,0.0
AABAX,02/21/17,13.32,13.32,13.32,13.32,12.636853,0.0
AABAX,02/22/17,13.31,13.31,13.31,13.31,12.627366,0.0
AABAX,02/23/17,13.31,13.31,13.31,13.31,12.627366,0.0
AABAX,02/24/17,13.33,13.33,13.33,13.33,12.646339999999999,0.0
AABAX,02/27/17,13.34,13.34,13.34,13.34,12.655826,0.0
AABAX,02/28/17,13.31,13.31,13.31,13.31,12.627366,0.0
AABAX,03/01/17,13.38,13.38,13.38,13.38,12.693779,0.0
AABAX,03/02/17,13.32,13.32,13.32,13.32,12.636853,0.0
AABAX,03/03/17,13.32,13.32,13.32,13.32,12.636853,0.0
AABAX,03/06/17,13.29,13.29,13.29,13.29,12.608391000000001,0.0
AABAX,03/07/17,13.26,13.26,13.26,13.26,12.579931,0.0
AABAX,03/08/17,13.23,13.23,13.23,13.23,12.55147,0.0
AABAX,03/09/17,13.21,13.21,13.21,13.21,12.532496,0.0
AABAX,03/10/17,13.25,13.25,13.25,13.25,12.570444,0.0
AABAX,03/13/17,13.27,13.27,13.27,13.27,12.589416,0.0
AABAX,03/14/17,13.23,13.23,13.23,13.23,12.55147,0.0
AABAX,03/15/17,13.34,13.34,13.34,13.34,12.655826,0.0
AABAX,03/16/17,13.33,13.33,13.33,13.33,12.646339999999999,0.0
AABAX,03/17/17,13.34,13.34,13.34,13.34,12.655826,0.0
AABAX,03/20/17,13.33,13.33,13.33,13.33,12.646339999999999,0.0
AABAX,03/21/17,13.24,13.24,13.24,13.24,12.560956,0.0
AABAX,03/22/17,13.26,13.26,13.26,13.26,12.579931,0.0
AABAX,03/23/17,13.26,13.26,13.26,13.26,12.579931,0.0
