Name,Date,Open,High,Low,Close,Adj Close,Volume
ABUS,02/11/20,3.15,3.19,3.04,3.07,3.07,1516500
ABUS,02/12/20,3.07,3.25,3.05,3.15,3.15,754300
ABUS,02/13/20,3.15,3.48,3.12,3.28,3.28,2668600
ABUS,02/14/20,3.32,3.43,3.28,3.35,3.35,1256400
ABUS,02/18/20,3.29,3.48,3.26,3.4,3.4,527400
ABUS,02/19/20,3.41,3.48,3.2,3.27,3.27,461700
ABUS,02/20/20,3.47,3.56,3.25,3.42,3.42,1333400
ABUS,02/21/20,3.4,3.49,3.19,3.25,3.25,685300
ABUS,02/24/20,3.1,3.1,2.64,3.03,3.03,755100
ABUS,02/25/20,3.02,3.08,2.91,3.0,3.0,348400
ABUS,02/26/20,3.01,3.01,2.66,2.8,2.8,2004900
ABUS,02/27/20,2.69,3.43,2.69,3.1,3.1,1150000
ABUS,02/28/20,3.09,3.1,2.6,2.92,2.92,691600
ABUS,03/02/20,2.88,2.96,2.77,2.85,2.85,247700
ABUS,03/03/20,2.85,2.86,2.72,2.79,2.79,342600
ABUS,03/04/20,2.85,3.1,2.76,3.03,3.03,368000
ABUS,03/05/20,3.01,3.09,2.91,3.0,3.0,253200
ABUS,03/06/20,3.25,3.25,2.9,2.97,2.97,252000
ABUS,03/09/20,2.84,2.9,2.66,2.76,2.76,255200
ABUS,03/10/20,2.84,2.97,2.76,2.78,2.78,323000
ABUS,03/11/20,2.75,2.75,2.56,2.58,2.58,387000
ABUS,03/12/20,2.41,2.46,2.17,2.31,2.31,637900
ABUS,03/13/20,2.29,2.58,2.1,2.12,2.12,284900
ABUS,03/16/20,1.94,1.94,1.42,1.42,1.42,858600
ABUS,03/17/20,1.52,1.59,1.2,1.27,1.27,872800
ABUS,03/18/20,1.26,1.44,1.18,1.2,1.2,413300
ABUS,03/19/20,1.21,1.86,1.2,1.75,1.75,1371300
ABUS,03/20/20,1.81,1.96,1.43,1.44,1.44,983900
ABUS,03/23/20,1.46,1.67,1.4,1.65,1.65,173000
ABUS,03/24/20,1.67,1.98,1.65,1.95,1.95,297100
ABUS,03/25/20,1.95,2.24,1.91,2.15,2.15,273400
ABUS,03/26/20,2.22,2.3,2.15,2.26,2.26,423200
ABUS,03/27/20,2.0,2.0,1.12,1.21,1.21,8028600
ABUS,03/30/20,1.29,1.29,1.1,1.12,1.12,2102400
ABUS,03/31/20,1.13,1.13,1.01,1.01,1.01,1492100
ABUS,04/01/20,1.01,1.08,0.96,1.06,1.06,981900
ABUS,04/02/20,1.09,1.1,0.99,1.0,1.0,528100
ABUS,04/03/20,1.01,1.04,0.88,0.91,0.91,1082900
ABUS,04/06/20,0.98,1.05,0.89,1.04,1.04,621300
ABUS,04/07/20,1.09,1.14,1.03,1.04,1.04,478800
ABUS,04/08/20,1.05,1.09,0.99,1.02,1.02,398500
ABUS,04/09/20,1.03,1.09,1.0,1.03,1.03,315100
ABUS,04/13/20,1.09,1.1,1.02,1.05,1.05,536000
ABUS,04/14/20,1.08,1.15,1.03,1.07,1.07,629400
ABUS,04/15/20,1.06,1.25,1.01,1.19,1.19,1508200
ABUS,04/16/20,1.17,1.22,1.11,1.2,1.2,583500
ABUS,04/17/20,1.21,1.25,1.16,1.19,1.19,442700
ABUS,04/20/20,1.19,1.25,1.16,1.24,1.24,756700
ABUS,04/21/20,1.23,1.24,1.13,1.2,1.2,498300
ABUS,04/22/20,1.21,1.22,1.16,1.17,1.17,199200
ABUS,04/23/20,1.19,1.23,1.17,1.23,1.23,489300
ABUS,04/24/20,1.22,1.24,1.17,1.21,1.21,331300
ABUS,04/27/20,1.22,1.22,1.17,1.19,1.19,202700
ABUS,04/28/20,1.17,1.26,1.17,1.2,1.2,304700
ABUS,04/29/20,1.21,1.24,1.09,1.16,1.16,760100
ABUS,04/30/20,1.18,1.2,1.12,1.16,1.16,393300
ABUS,05/01/20,1.03,1.11,1.02,1.07,1.07,625100
ABUS,05/04/20,1.09,1.25,1.07,1.21,1.21,878600
ABUS,05/05/20,1.23,1.38,1.18,1.27,1.27,1384100
ABUS,05/06/20,1.3,1.48,1.25,1.42,1.42,1230100
ABUS,05/07/20,1.49,1.5,1.38,1.44,1.44,821200
ABUS,05/08/20,1.44,1.45,1.31,1.35,1.35,669000
ABUS,05/11/20,1.48,1.5,1.24,1.44,1.44,1654300
ABUS,05/12/20,1.48,1.87,1.45,1.65,1.65,2157300
ABUS,05/13/20,1.79,1.89,1.57,1.7,1.7,1115400
ABUS,05/14/20,1.8,1.84,1.56,1.84,1.84,844700
ABUS,05/15/20,1.86,2.19,1.86,2.1,2.1,1981800
ABUS,05/18/20,2.25,2.32,1.76,1.87,1.87,3998100
ABUS,05/19/20,2.69,2.69,2.28,2.31,2.31,12182400
ABUS,05/20/20,2.34,2.36,2.19,2.36,2.36,2782100
ABUS,05/21/20,2.35,2.42,2.3,2.34,2.34,733600
ABUS,05/22/20,2.31,2.36,2.24,2.29,2.29,813100
ABUS,05/26/20,2.28,2.29,2.16,2.21,2.21,831300
ABUS,05/27/20,2.18,2.29,2.01,2.22,2.22,1205100
ABUS,05/28/20,2.22,2.25,2.1,2.16,2.16,466200
ABUS,05/29/20,2.12,2.21,2.08,2.17,2.17,450700
ABUS,06/01/20,2.12,2.23,2.03,2.16,2.16,686200
ABUS,06/02/20,2.13,2.25,2.0,2.09,2.09,1058700
ABUS,06/03/20,2.09,2.19,2.02,2.06,2.06,1310800
ABUS,06/04/20,2.04,2.18,2.01,2.04,2.04,2108100
ABUS,06/05/20,2.03,2.15,2.02,2.05,2.05,1225000
ABUS,06/08/20,2.09,2.09,2.0,2.05,2.05,1194600
ABUS,06/09/20,2.05,2.1,1.9,1.91,1.91,1323900
ABUS,06/10/20,1.96,1.97,1.75,1.85,1.85,1213200
ABUS,06/11/20,1.8,1.8,1.6,1.64,1.64,1307200
ABUS,06/12/20,1.67,1.76,1.66,1.73,1.73,576600
ABUS,06/15/20,1.69,1.95,1.67,1.84,1.84,993000
ABUS,06/16/20,1.94,2.0,1.87,1.98,1.98,792600
ABUS,06/17/20,1.97,2.08,1.91,1.91,1.91,663200
ABUS,06/18/20,1.9,2.08,1.88,1.96,1.96,671300
ABUS,06/19/20,2.01,2.07,1.9,1.91,1.91,2579300
ABUS,06/22/20,2.0,2.1,1.86,2.04,2.04,1341300
ABUS,06/23/20,2.11,2.2,2.05,2.05,2.05,1162400
ABUS,06/24/20,2.06,2.14,1.97,2.07,2.07,1149900
ABUS,06/25/20,2.14,2.18,2.07,2.1,2.1,773200
ABUS,06/26/20,2.1,2.15,1.91,1.93,1.93,1416900
ABUS,06/29/20,1.97,2.0,1.88,1.92,1.92,402100
ABUS,06/30/20,1.91,1.92,1.8,1.82,1.82,814300
ABUS,07/01/20,1.82,1.91,1.78,1.83,1.83,817400
ABUS,07/02/20,1.83,1.94,1.81,1.88,1.88,687300
ABUS,07/06/20,1.94,1.94,1.85,1.87,1.87,567700
ABUS,07/07/20,1.85,1.96,1.84,1.86,1.86,1011200
ABUS,07/08/20,1.88,1.91,1.81,1.88,1.88,578700
ABUS,07/09/20,1.88,1.91,1.81,1.86,1.86,443200
ABUS,07/10/20,1.85,1.91,1.83,1.86,1.86,363700
ABUS,07/13/20,1.85,1.88,1.75,1.75,1.75,591100
ABUS,07/14/20,1.76,1.81,1.71,1.8,1.8,468200
ABUS,07/15/20,1.81,1.94,1.8,1.89,1.89,741200
ABUS,07/16/20,1.9,2.08,1.89,2.01,2.01,1224700
ABUS,07/17/20,2.09,2.58,2.04,2.4,2.4,3518200
ABUS,07/20/20,2.33,3.22,2.21,2.97,2.97,22842200
ABUS,07/21/20,2.89,3.47,2.36,2.87,2.87,9321400
ABUS,07/22/20,3.02,3.06,2.75,2.82,2.82,1702700
ABUS,07/23/20,2.91,6.48,2.66,6.2,6.2,109113500
ABUS,07/24/20,7.98,9.02,4.77,4.96,4.96,219523600
ABUS,07/27/20,5.44,5.72,4.35,4.47,4.47,32225700
ABUS,07/28/20,4.04,4.3,3.92,4.02,4.02,13171100
ABUS,07/29/20,3.88,4.23,3.71,4.04,4.04,9402200
ABUS,07/30/20,3.93,4.5,3.81,4.3,4.3,8674800
ABUS,07/31/20,4.31,4.37,3.8,3.81,3.81,5212700
ABUS,08/03/20,3.86,4.01,3.79,3.83,3.83,3400000
ABUS,08/04/20,3.82,3.86,3.66,3.75,3.75,2930900
ABUS,08/05/20,3.76,4.42,3.76,4.18,4.18,8192800
ABUS,08/06/20,4.44,4.89,4.25,4.37,4.37,8859000
ABUS,08/07/20,3.91,4.04,3.43,3.8,3.8,11335200
ABUS,08/10/20,3.72,3.76,3.61,3.66,3.66,2514700
ABUS,08/11/20,3.66,3.97,3.34,3.44,3.44,13328500
ABUS,08/12/20,3.93,3.96,3.5,3.56,3.56,14182500
ABUS,08/13/20,3.45,3.47,3.26,3.43,3.43,4653100
ABUS,08/14/20,3.35,3.51,3.31,3.47,3.47,2783000
ABUS,08/17/20,3.47,3.58,3.39,3.48,3.48,2179800
ABUS,08/18/20,3.47,3.5,3.37,3.45,3.45,1755400
ABUS,08/19/20,3.4,3.57,3.37,3.45,3.45,2011700
ABUS,08/20/20,3.45,3.46,3.31,3.34,3.34,1707300
ABUS,08/21/20,3.33,3.44,3.16,3.18,3.18,2409900
ABUS,08/24/20,3.18,3.24,3.01,3.01,3.01,2559900
ABUS,08/25/20,3.01,3.14,2.92,3.0,3.0,2279200
ABUS,08/26/20,3.03,3.11,2.92,2.93,2.93,2892200
