Name,Date,Open,High,Low,Close,Adj Close,Volume
ABIO,02/11/20,5.45,5.73,5.27,5.35,5.35,11800
ABIO,02/12/20,5.55,5.55,5.37,5.49,5.49,18000
ABIO,02/13/20,5.36,5.5,5.35,5.48,5.48,10700
ABIO,02/14/20,5.45,5.53,5.45,5.53,5.53,4300
ABIO,02/18/20,5.46,5.52,5.35,5.35,5.35,14700
ABIO,02/19/20,5.55,5.55,4.92,5.2,5.2,86100
ABIO,02/20/20,5.21,5.21,4.8,4.9,4.9,62700
ABIO,02/21/20,4.8,4.8,3.93,4.26,4.26,180900
ABIO,02/24/20,4.15,4.49,4.07,4.36,4.36,32700
ABIO,02/25/20,4.5,4.5,4.14,4.14,4.14,19900
ABIO,02/26/20,4.21,4.36,4.08,4.13,4.13,22200
ABIO,02/27/20,3.55,3.55,3.11,3.26,3.26,131400
ABIO,02/28/20,3.26,3.74,3.26,3.74,3.74,73400
ABIO,03/02/20,3.83,3.9,3.51,3.84,3.84,37800
ABIO,03/03/20,3.79,3.79,3.4,3.7,3.7,23600
ABIO,03/04/20,3.89,3.89,3.7,3.83,3.83,25600
ABIO,03/05/20,3.8,3.8,3.67,3.67,3.67,9000
ABIO,03/06/20,4.03,4.03,3.69,3.8,3.8,36800
ABIO,03/09/20,4.0,4.0,3.38,3.39,3.39,32100
ABIO,03/10/20,3.45,3.46,3.15,3.31,3.31,20000
ABIO,03/11/20,3.25,3.42,3.12,3.19,3.19,11100
ABIO,03/12/20,3.12,3.13,3.0,3.01,3.01,41800
ABIO,03/13/20,3.0,3.14,2.7,2.7,2.7,43800
ABIO,03/16/20,2.71,2.71,2.45,2.45,2.45,27800
ABIO,03/17/20,2.7,2.7,2.46,2.5,2.5,10200
ABIO,03/18/20,2.5,2.59,2.3,2.32,2.32,12500
ABIO,03/19/20,2.21,2.58,2.21,2.58,2.58,11400
ABIO,03/20/20,2.66,2.7,2.6,2.6,2.6,7800
ABIO,03/23/20,2.64,2.64,2.51,2.54,2.54,6300
ABIO,03/24/20,2.65,2.75,2.51,2.6,2.6,7300
ABIO,03/25/20,2.65,2.9,2.52,2.55,2.55,23300
ABIO,03/26/20,2.7,2.74,2.61,2.72,2.72,13300
ABIO,03/27/20,2.71,2.79,2.55,2.63,2.63,7200
ABIO,03/30/20,2.6,2.78,2.52,2.68,2.68,3700
ABIO,03/31/20,2.73,2.85,2.71,2.79,2.79,9400
ABIO,04/01/20,2.72,2.84,2.61,2.69,2.69,10900
ABIO,04/02/20,2.73,2.82,2.67,2.82,2.82,3500
ABIO,04/03/20,2.8,2.87,2.8,2.84,2.84,10800
ABIO,04/06/20,2.88,3.02,2.82,2.84,2.84,24100
ABIO,04/07/20,2.84,2.85,2.63,2.76,2.76,15000
ABIO,04/08/20,2.9,2.9,2.76,2.88,2.88,7700
ABIO,04/09/20,3.03,3.26,2.95,3.0,3.0,38800
ABIO,04/13/20,3.23,3.46,3.03,3.39,3.39,27900
ABIO,04/14/20,3.5,3.9,3.5,3.74,3.74,33400
ABIO,04/15/20,3.87,4.5,3.78,4.32,4.32,92900
ABIO,04/16/20,4.55,5.45,4.45,4.86,4.86,117900
ABIO,04/17/20,5.35,5.35,4.26,4.59,4.59,58500
ABIO,04/20/20,4.61,4.67,4.1,4.28,4.28,25800
ABIO,04/21/20,4.12,4.42,3.8,3.98,3.98,20900
ABIO,04/22/20,4.22,4.22,3.71,3.82,3.82,23200
ABIO,04/23/20,3.99,4.13,3.86,4.13,4.13,8800
ABIO,04/24/20,4.14,4.25,3.9,3.98,3.98,10700
ABIO,04/27/20,3.89,4.02,3.7,3.85,3.85,11900
ABIO,04/28/20,3.88,3.88,3.26,3.46,3.46,60900
ABIO,04/29/20,3.46,3.78,3.46,3.69,3.69,13600
ABIO,04/30/20,3.78,4.26,3.66,3.66,3.66,41900
ABIO,05/01/20,3.55,3.67,3.2,3.53,3.53,7200
ABIO,05/04/20,3.59,3.72,3.53,3.72,3.72,14500
ABIO,05/05/20,3.96,3.96,3.73,3.79,3.79,11000
ABIO,05/06/20,3.89,3.93,3.72,3.89,3.89,16700
ABIO,05/07/20,4.19,4.19,3.76,3.97,3.97,10800
ABIO,05/08/20,3.98,3.98,3.78,3.98,3.98,15000
ABIO,05/11/20,4.0,4.0,3.8,3.98,3.98,5500
ABIO,05/12/20,3.89,3.97,3.82,3.96,3.96,13000
ABIO,05/13/20,4.02,4.02,3.68,3.75,3.75,10100
ABIO,05/14/20,3.75,3.87,3.51,3.86,3.86,12000
ABIO,05/15/20,3.84,3.84,3.63,3.77,3.77,8400
ABIO,05/18/20,3.69,3.79,3.69,3.73,3.73,13600
ABIO,05/19/20,3.79,3.82,3.7,3.8,3.8,4300
ABIO,05/20/20,3.78,3.8,3.71,3.78,3.78,6300
ABIO,05/21/20,3.86,3.86,3.76,3.78,3.78,3900
ABIO,05/22/20,3.82,3.86,3.73,3.83,3.83,9200
ABIO,05/26/20,3.98,3.98,3.81,3.96,3.96,6700
ABIO,05/27/20,3.87,3.97,3.67,3.95,3.95,5000
ABIO,05/28/20,8.82,22.0,7.42,19.209999,19.209999,83480200
ABIO,05/29/20,13.9,15.0,11.94,12.6,12.6,5494300
ABIO,06/01/20,10.17,10.25,9.1,9.2,9.2,2066800
ABIO,06/02/20,9.46,9.47,8.83,9.09,9.09,607900
ABIO,06/03/20,9.0,9.04,8.51,8.6,8.6,419000
ABIO,06/04/20,8.39,8.5,7.75,8.05,8.05,425600
ABIO,06/05/20,7.96,9.43,7.51,8.55,8.55,738700
ABIO,06/08/20,8.26,8.46,7.63,8.3,8.3,520200
ABIO,06/09/20,8.25,8.36,7.89,8.0,8.0,308000
ABIO,06/10/20,8.12,9.95,7.16,8.08,8.08,1911700
ABIO,06/11/20,8.03,8.03,7.06,7.21,7.21,322700
ABIO,06/12/20,7.55,7.55,7.01,7.17,7.17,214600
ABIO,06/15/20,7.03,7.51,7.03,7.13,7.13,400800
ABIO,06/16/20,7.18,7.45,7.11,7.16,7.16,275700
ABIO,06/17/20,7.12,7.34,7.06,7.14,7.14,103000
ABIO,06/18/20,7.02,7.3,6.81,6.96,6.96,210900
ABIO,06/19/20,6.94,7.19,6.8,6.95,6.95,147400
ABIO,06/22/20,6.89,7.75,6.84,7.52,7.52,679100
ABIO,06/23/20,7.77,7.78,7.02,7.14,7.14,227700
ABIO,06/24/20,7.12,7.16,6.74,6.95,6.95,206300
ABIO,06/25/20,6.76,7.39,6.68,7.0,7.0,256600
ABIO,06/26/20,7.1,7.28,6.75,6.85,6.85,219600
ABIO,06/29/20,6.84,7.2,6.55,6.7,6.7,244600
ABIO,06/30/20,6.66,6.87,6.55,6.62,6.62,131700
ABIO,07/01/20,6.62,6.8,6.52,6.71,6.71,181600
ABIO,07/02/20,6.7,6.88,6.64,6.74,6.74,118500
ABIO,07/06/20,6.81,6.85,6.3,6.43,6.43,423800
ABIO,07/07/20,6.34,6.84,6.2,6.43,6.43,371400
ABIO,07/08/20,6.4,6.88,6.21,6.69,6.69,797600
ABIO,07/09/20,7.0,7.09,6.51,6.74,6.74,998200
ABIO,07/10/20,6.71,6.76,6.4,6.59,6.59,1321200
ABIO,07/13/20,6.7,7.63,6.54,6.95,6.95,2488900
ABIO,07/14/20,6.93,6.97,6.41,6.72,6.72,578600
ABIO,07/15/20,6.83,6.85,6.09,6.46,6.46,629400
ABIO,07/16/20,6.52,6.65,6.31,6.42,6.42,594400
ABIO,07/17/20,6.37,7.15,6.16,7.06,7.06,4041800
ABIO,07/20/20,7.12,8.61,7.1,7.99,7.99,4027700
ABIO,07/21/20,8.12,8.24,7.3,7.56,7.56,1222500
ABIO,07/22/20,7.27,7.49,7.02,7.29,7.29,814600
ABIO,07/23/20,7.12,7.36,6.4,6.62,6.62,1053900
ABIO,07/24/20,6.6,7.06,6.45,6.91,6.91,951800
ABIO,07/27/20,7.05,7.08,6.62,7.03,7.03,889000
ABIO,07/28/20,6.99,7.15,6.75,7.0,7.0,1203900
ABIO,07/29/20,7.15,7.27,6.86,6.9,6.9,915300
ABIO,07/30/20,7.0,7.38,6.8,7.1,7.1,3157100
ABIO,07/31/20,7.21,7.25,6.9,7.0,7.0,1415500
ABIO,08/03/20,6.97,6.99,6.59,6.62,6.62,1345900
ABIO,08/04/20,6.76,6.9,6.72,6.78,6.78,533100
ABIO,08/05/20,6.79,6.84,6.64,6.77,6.77,831300
ABIO,08/06/20,6.64,6.75,6.44,6.74,6.74,932500
ABIO,08/07/20,6.9,6.94,6.8,6.88,6.88,1250300
ABIO,08/10/20,6.91,6.99,6.67,6.84,6.84,1024700
ABIO,08/11/20,6.93,6.97,6.7,6.79,6.79,963900
ABIO,08/12/20,6.8,6.89,6.16,6.28,6.28,2692900
ABIO,08/13/20,6.2,6.26,5.86,5.96,5.96,1010500
ABIO,08/14/20,5.9,6.05,5.9,5.95,5.95,379400
ABIO,08/17/20,6.05,6.18,5.95,6.02,6.02,528500
ABIO,08/18/20,6.0,6.1,5.95,6.01,6.01,534400
ABIO,08/19/20,6.0,6.07,5.59,5.69,5.69,679300
ABIO,08/20/20,5.59,5.71,5.52,5.67,5.67,414400
ABIO,08/21/20,5.67,5.76,5.52,5.58,5.58,394200
ABIO,08/24/20,5.63,5.69,5.38,5.57,5.57,621800
ABIO,08/25/20,5.48,5.7,5.36,5.65,5.65,694600
ABIO,08/26/20,5.62,5.65,5.23,5.34,5.34,500700
ABIO,08/27/20,5.34,5.34,4.88,5.1,5.1,571000
ABIO,08/28/20,5.06,5.15,4.9,4.99,4.99,415300
ABIO,08/31/20,5.05,5.55,5.01,5.48,5.48,495700
ABIO,09/01/20,5.31,5.43,5.05,5.21,5.21,352600
ABIO,09/02/20,5.14,5.17,4.91,5.09,5.09,285600
ABIO,09/03/20,5.09,5.19,4.68,4.75,4.75,624700
ABIO,09/04/20,4.6,4.66,3.99,4.41,4.41,903900
ABIO,09/08/20,4.29,4.53,4.14,4.36,4.36,192400
ABIO,09/09/20,4.44,4.64,4.38,4.46,4.46,289300
ABIO,09/10/20,4.56,4.68,4.48,4.56,4.56,349300
ABIO,09/11/20,4.61,4.63,4.36,4.53,4.53,200800
ABIO,09/14/20,4.53,4.81,4.45,4.78,4.78,1084200
ABIO,09/15/20,5.09,5.49,5.02,5.23,5.23,5146600
ABIO,09/16/20,5.19,5.2,4.85,5.12,5.12,1386000
ABIO,09/17/20,5.03,5.18,4.92,5.07,5.07,623500
ABIO,09/18/20,5.07,5.25,4.99,5.18,5.18,946900
ABIO,09/21/20,4.96,5.05,4.55,4.63,4.63,2373200
ABIO,09/22/20,4.75,4.75,4.55,4.62,4.62,676500
ABIO,09/23/20,4.43,4.44,4.11,4.18,4.18,1291700
ABIO,09/24/20,4.0,4.2,3.85,4.07,4.07,863400
ABIO,09/25/20,4.16,4.55,4.16,4.49,4.49,677500
ABIO,09/28/20,4.61,4.65,4.39,4.55,4.55,511500
ABIO,09/29/20,4.49,4.54,4.37,4.44,4.44,371600
ABIO,09/30/20,4.38,4.56,4.38,4.42,4.42,217800
ABIO,10/01/20,4.45,4.49,4.27,4.43,4.43,272400
ABIO,10/02/20,4.32,4.6,4.2,4.55,4.55,567900
ABIO,10/05/20,4.62,4.72,4.42,4.6,4.6,428000
ABIO,10/06/20,4.64,5.23,4.6,5.18,5.18,1993200
ABIO,10/07/20,5.35,5.4,4.62,4.74,4.74,4895500
ABIO,10/08/20,4.58,4.58,4.32,4.38,4.38,1395900
ABIO,10/09/20,4.4,4.48,4.26,4.38,4.38,569700
ABIO,10/12/20,4.43,4.43,4.19,4.2,4.2,580200
ABIO,10/13/20,4.2,4.27,4.16,4.22,4.22,315000
ABIO,10/14/20,4.2,4.25,4.1,4.16,4.16,329700
ABIO,10/15/20,4.16,4.34,4.16,4.29,4.29,287300
ABIO,10/16/20,4.25,4.3,4.16,4.17,4.17,187700
ABIO,10/19/20,4.18,4.3,4.16,4.21,4.21,211100
ABIO,10/20/20,4.2,4.29,4.12,4.16,4.16,292500
ABIO,10/21/20,4.17,4.24,4.05,4.08,4.08,185000
ABIO,10/22/20,4.09,4.14,4.01,4.1,4.1,235700
ABIO,10/23/20,4.12,4.16,4.01,4.03,4.03,153200
ABIO,10/26/20,4.04,4.12,3.95,4.0,4.0,429600
ABIO,10/27/20,4.0,4.03,3.95,3.95,3.95,156800
ABIO,10/28/20,3.87,3.99,3.71,3.86,3.86,439500
ABIO,10/29/20,3.86,3.93,3.78,3.87,3.87,98400
ABIO,10/30/20,3.85,3.86,3.71,3.85,3.85,311700
ABIO,11/02/20,3.98,4.11,3.93,4.05,4.05,890500
ABIO,11/03/20,4.05,4.06,3.95,4.02,4.02,162400
ABIO,11/04/20,4.03,4.15,3.91,4.03,4.03,439900
ABIO,11/05/20,4.03,4.07,3.94,3.99,3.99,242100
ABIO,11/06/20,4.0,4.03,3.93,3.95,3.95,162900
ABIO,11/09/20,3.99,4.05,3.77,3.81,3.81,413300
ABIO,11/10/20,3.85,3.94,3.74,3.87,3.87,245500
ABIO,11/11/20,3.9,3.91,3.77,3.82,3.82,168900
ABIO,11/12/20,3.85,3.99,3.83,3.98,3.98,247100
ABIO,11/13/20,3.95,4.09,3.95,4.03,4.03,199100
ABIO,11/16/20,4.01,4.09,3.96,4.05,4.05,158800
ABIO,11/17/20,4.04,4.04,3.93,3.93,3.93,104800
ABIO,11/18/20,3.95,3.99,3.88,3.9,3.9,165900
ABIO,11/19/20,3.89,3.92,3.73,3.74,3.74,442600
ABIO,11/20/20,3.78,3.9,3.73,3.89,3.89,318400
ABIO,11/23/20,4.05,4.28,3.96,4.18,4.18,2167000
ABIO,11/24/20,4.13,4.15,3.91,4.04,4.04,455800
ABIO,11/25/20,4.01,4.19,3.98,4.19,4.19,270200
ABIO,11/27/20,4.19,4.45,4.19,4.28,4.28,633500
ABIO,11/30/20,4.23,4.27,4.03,4.24,4.24,380700
ABIO,12/01/20,4.24,4.24,4.1,4.19,4.19,259200
ABIO,12/02/20,4.18,4.33,4.1,4.27,4.27,290100
ABIO,12/03/20,4.24,4.35,4.21,4.26,4.26,191000
ABIO,12/04/20,4.27,4.31,4.17,4.19,4.19,172400
ABIO,12/07/20,4.19,4.24,4.09,4.09,4.09,172900
ABIO,12/08/20,4.09,4.2,4.09,4.15,4.15,246500
ABIO,12/09/20,4.12,4.18,3.97,4.12,4.12,241500
