Name,Date,Open,High,Low,Close,Adj Close,Volume
AAOI,02/11/20,11.4,11.66,11.11,11.51,11.51,649200
AAOI,02/12/20,11.6,12.48,11.5,12.46,12.46,995200
AAOI,02/13/20,12.2,12.89,12.06,12.75,12.75,1002300
AAOI,02/14/20,12.7,12.73,11.81,11.9,11.9,1006400
AAOI,02/18/20,11.77,12.1,11.58,11.75,11.75,653300
AAOI,02/19/20,11.78,12.2,11.45,12.08,12.08,978700
AAOI,02/20/20,12.02,12.299,11.587,11.82,11.82,827500
AAOI,02/21/20,11.7,11.7,10.874,11.28,11.28,1419700
AAOI,02/24/20,10.54,10.75,10.42,10.585,10.585,725600
AAOI,02/25/20,10.72,10.825,10.1,10.195,10.195,664500
AAOI,02/26/20,10.27,10.47,10.02,10.18,10.18,713200
AAOI,02/27/20,9.9,10.02,9.37,9.56,9.56,1027100
AAOI,02/28/20,8.95,9.73,8.54,8.93,8.93,1480600
AAOI,03/02/20,8.95,9.28,8.65,9.03,9.03,934700
AAOI,03/03/20,9.03,9.47,8.85,9.4,9.4,703600
AAOI,03/04/20,9.61,9.61,9.13,9.38,9.38,540500
AAOI,03/05/20,9.19,9.25,8.86,9.04,9.04,558300
AAOI,03/06/20,8.75,8.94,8.535,8.79,8.79,800700
AAOI,03/09/20,8.07,8.27,7.588,7.72,7.72,1214700
AAOI,03/10/20,8.09,8.216,7.72,8.12,8.12,828800
AAOI,03/11/20,7.83,8.04,6.99,7.04,7.04,933700
AAOI,03/12/20,6.31,6.5,5.665,5.68,5.68,1065200
AAOI,03/13/20,6.2,6.23,5.61,6.11,6.11,990700
AAOI,03/16/20,5.53,6.16,5.36,5.64,5.64,763000
AAOI,03/17/20,5.8,6.14,5.51,5.96,5.96,1246500
AAOI,03/18/20,5.56,5.81,5.0,5.5,5.5,1207400
AAOI,03/19/20,5.51,6.6,5.448,6.55,6.55,1028700
AAOI,03/20/20,6.66,7.96,6.54,6.74,6.74,1171700
AAOI,03/23/20,7.05,7.5,6.775,6.9,6.9,959600
AAOI,03/24/20,7.33,7.7,7.05,7.7,7.7,842800
AAOI,03/25/20,7.78,8.15,7.34,7.45,7.45,495700
AAOI,03/26/20,7.52,7.747,6.94,6.96,6.96,936900
AAOI,03/27/20,6.76,8.04,6.32,7.48,7.48,1425900
AAOI,03/30/20,7.5,7.62,7.03,7.6,7.6,707100
AAOI,03/31/20,7.63,7.89,7.31,7.59,7.59,466100
AAOI,04/01/20,7.34,7.488,7.18,7.32,7.32,348900
AAOI,04/02/20,7.34,7.8,7.19,7.69,7.69,653300
AAOI,04/03/20,7.69,7.84,7.06,7.45,7.45,557800
AAOI,04/06/20,7.78,7.945,7.5,7.92,7.92,728400
AAOI,04/07/20,8.11,8.35,7.82,7.94,7.94,578500
AAOI,04/08/20,8.05,8.5,7.95,8.01,8.01,537600
AAOI,04/09/20,8.13,8.191,7.585,7.76,7.76,710700
AAOI,04/13/20,7.73,8.0,7.56,7.99,7.99,379900
AAOI,04/14/20,8.08,8.5,8.08,8.19,8.19,456500
AAOI,04/15/20,8.0,8.86,7.82,8.72,8.72,726900
AAOI,04/16/20,8.8,9.14,8.4,8.59,8.59,750900
AAOI,04/17/20,8.78,8.855,8.34,8.44,8.44,620800
AAOI,04/20/20,8.3,8.652,8.21,8.37,8.37,673300
AAOI,04/21/20,8.15,8.502,8.1,8.28,8.28,755000
AAOI,04/22/20,8.45,8.57,8.31,8.42,8.42,566800
