Name,Date,Open,High,Low,Close,Adj Close,Volume
AAME,02/11/20,2.2,2.2,2.07,2.08,2.08,4800
AAME,02/12/20,1.98,1.98,1.98,1.98,1.98,200
AAME,02/13/20,2.01,2.29,2.01,2.29,2.29,6500
AAME,02/14/20,2.29,2.29,2.29,2.29,2.29,0
AAME,02/18/20,2.38,2.62,2.35,2.57,2.57,6800
AAME,02/19/20,2.57,2.57,2.57,2.57,2.57,0
AAME,02/20/20,2.51,2.6,2.21,2.25,2.25,2900
AAME,02/21/20,2.61,2.61,2.57,2.6,2.6,1200
AAME,02/24/20,2.55,2.55,2.53,2.53,2.53,700
AAME,02/25/20,2.32,2.45,2.25,2.4,2.4,2700
AAME,02/26/20,2.4,2.5,2.4,2.5,2.5,600
AAME,02/27/20,2.3,2.3,2.17,2.17,2.17,7700
AAME,02/28/20,2.29,2.54,2.12,2.47,2.47,1900
AAME,03/02/20,2.48,2.61,2.16,2.61,2.61,1700
AAME,03/03/20,2.61,2.61,2.55,2.57,2.57,700
AAME,03/04/20,2.57,2.57,2.57,2.57,2.57,0
AAME,03/05/20,2.25,2.57,2.25,2.52,2.52,2200
AAME,03/06/20,2.52,2.52,2.5,2.5,2.5,700
AAME,03/09/20,2.32,2.61,2.32,2.55,2.55,2700
AAME,03/10/20,2.6,2.6,2.34,2.6,2.6,1400
AAME,03/11/20,2.58,2.61,2.58,2.58,2.58,1200
AAME,03/12/20,2.31,2.6,2.31,2.52,2.52,1600
AAME,03/13/20,2.6,2.6,2.4,2.5,2.5,1600
AAME,03/16/20,2.5,2.5,2.39,2.42,2.42,1400
AAME,03/17/20,2.38,2.38,2.2,2.2,2.2,6100
AAME,03/18/20,2.2,2.2,2.2,2.2,2.2,0
AAME,03/19/20,2.44,2.44,2.4,2.4,2.4,300
AAME,03/20/20,2.31,2.31,2.31,2.31,2.31,100
AAME,03/23/20,2.24,2.24,2.24,2.24,2.24,200
AAME,03/24/20,2.45,2.45,2.4,2.4,2.4,400
AAME,03/25/20,2.3,2.3,2.12,2.12,2.12,1100
AAME,03/26/20,2.29,2.29,2.08,2.28,2.28,1600
AAME,03/27/20,2.25,2.25,2.21,2.25,2.25,500
AAME,03/30/20,2.25,2.25,2.13,2.13,2.13,400
AAME,03/31/20,2.11,2.11,2.11,2.11,2.11,300
AAME,04/01/20,2.11,2.15,2.11,2.15,2.15,600
AAME,04/02/20,2.19,2.19,1.91,2.1,2.1,3600
AAME,04/03/20,2.09,2.1,2.03,2.1,2.1,500
AAME,04/06/20,2.1,2.21,2.1,2.21,2.21,900
AAME,04/07/20,2.2,2.2,1.9,2.19,2.19,1300
AAME,04/08/20,1.93,2.14,1.93,2.14,2.14,500
AAME,04/09/20,2.15,2.15,1.98,2.07,2.07,2700
AAME,04/13/20,2.07,2.07,2.07,2.07,2.07,0
AAME,04/14/20,1.96,2.04,1.9,2.04,2.04,1800
AAME,04/15/20,2.0,2.0,1.86,1.94,1.94,2600
AAME,04/16/20,1.83,2.0,1.83,1.99,1.99,1800
AAME,04/17/20,1.99,1.99,1.93,1.93,1.93,600
AAME,04/20/20,1.95,1.95,1.84,1.85,1.85,900
AAME,04/21/20,1.85,1.85,1.67,1.67,1.67,7600
AAME,04/22/20,1.91,1.92,1.72,1.79,1.79,2800
AAME,04/23/20,1.79,1.79,1.79,1.79,1.79,0
AAME,04/24/20,1.9,1.92,1.61,1.63,1.63,30500
AAME,04/27/20,1.6,1.74,1.6,1.63,1.63,4200
AAME,04/28/20,1.58,1.79,1.58,1.61,1.61,7400
AAME,04/29/20,1.61,1.78,1.61,1.75,1.75,10300
AAME,04/30/20,1.78,1.8,1.76,1.78,1.78,2600
AAME,05/01/20,1.62,1.8,1.62,1.78,1.78,900
